,,,,,,,,,,
,,,,,,,,,,
No.,Types of Research ,,Title of the Study,Researchers,Researchers/ Institutions,Year,Remarks,w/ File Copy (Yes/ No),Published (Yes/No),"Copy filed (soft or hard copy), Published online, or online archives"
17,Biodiversity and Ecosystem ,Coastal and Marine ,"Status of macroflora inside and outside marine sanctuaries of Apid, Mahaba, and Digyo Islands, Inopacan, Leyte, Western Philippines","Espinosa, Eliza D., Sotto, Filipina B., Tampus, Annielyn D., & Milan, Paciencia P. ","Institute of Tropical Ecology and Environmental Management - Aquatic Ecosystems Division (ITEEM-AED)  of VSU; Department of Biology, University of San Carlos, Cebu City; Department of Biological Sciences, MSU-Iligan Institute of Technology, Iligan City; and Department of Pest Management, VSU, Visca, Baybay City, Leyte",2018,Completed,Yes ,,Published online
18,Biodiversity and Ecosystem ,Coastal and Marine ,"Community Structure of Seagrasses in Cuatro Islas, Philippines","Johan Castillejos, Claire Abigail Collantes, Honeylene Trinchera, and Janeth Morata-Fuentes","Philippine Science High School-Eastern Visayas Campus, Department of Science and Technology (DOST)",2018,Completed,Yes ,,Published online
19,Biodiversity and Ecosystem ,Coastal and Marine ,"Ecological Assessment of the Planktonic Communities in the Coastal Waters of Mahaba Island, Cuatro Islas Protected Landscape and Seascape, Leyte","Abela, Cherry",Visayas State University (VSU),2019,School requirement,No,,
20,Biodiversity and Ecosystem ,Coastal and Marine ,"Species Composition, Density, and Distribution of Meiofauna in Mahaba Island, Cuatro Islas Protected Landscape and Seascape, Leyte",Alonzo. Maria Dianna,Visayas State University (VSU),2019,School requirement,No,,
21,Biodiversity and Ecosystem ,Coastal and Marine ,"Composition, Density and Distribution of Meiofauna in Coral Reefs of Himokilan Island, Cuatro Islas Protected Landscape and Seascape, Leyte","Aludo, Yanna",Visayas State University (VSU),2019,School requirement,No,,
22,Biodiversity and Ecosystem ,Coastal and Marine ,"Community Structure and Function of Plankton in Digyo Island, Cuatro Islas Protected Landscape and Seascape, Leyte","Amestoso, John Felix",Visayas State University (VSU),2019,School requirement,No,,
23,Biodiversity and Ecosystem ,Coastal and Marine ,"Planktonic Communities and Primary Productivity in the Coastal Waters of Apid Island, Cuatro Islas Protected Landscape and Seascape, Leyte","Florentino, Princess",Visayas State University (VSU),2019,School requirement,No,,
24,Biodiversity and Ecosystem ,Coastal and Marine ,"Assessment of the Planktonic Communities and Primary Production in the Coastal Waters of Himokilan Island, Cuatro Islas Protected Landscape and Seascape, Leyte","Jeve, Jeffrey",Visayas State University (VSU),2019,School requirement,No,,
25,Biodiversity and Ecosystem ,Coastal and Marine ,"Abundance and Distribution of Meiofauna in Coral Reefs of Digyo Island, Protected Landscape and Seascape , Leyte","Omapas, P. J",Visayas State University (VSU),2019,School requirement,No,,
26,Biodiversity and Ecosystem ,Coastal and Marine ,"Conservation Sustainability in Cuatro Islas Protected Landscape and Seascape (CIPLS), Leyte, Philippines","Espinosa, Eliza D.","Mindanao State University (MSU) Iligan Institute of Technology, Iligan City",2019,School requirement,No,,
